target	ChEBI-ID	precision	recall	f1-score	support
0	CHEBI:16793	0.9285714285714286	0.6190476190476191	0.742857142857143	21.0
1	CHEBI:177874	1.0	0.5882352941176471	0.7407407407407407	17.0
2	CHEBI:18420	0.9542494481236203	0.9624290326171657	0.9583217868425429	17966.0
3	CHEBI:190135	0.9245472837022133	0.9607945635128071	0.9423224814150218	1913.0
4	CHEBI:21137	0.8	0.75	0.7741935483870969	112.0
5	CHEBI:21143	0.9024390243902439	0.9487179487179487	0.9249999999999999	39.0
6	CHEBI:23378	0.8878748370273793	0.9399585921325052	0.9131746563861884	1449.0
7	CHEBI:24875	0.9212279177526789	0.918037518037518	0.9196299508528475	3465.0
8	CHEBI:25213	0.5217391304347826	0.5	0.5106382978723404	24.0
9	CHEBI:29033	0.4885057471264368	0.5214723926380368	0.5044510385756678	163.0
10	CHEBI:29034	0.5109780439121756	0.7876923076923077	0.6198547215496367	325.0
11	CHEBI:29035	0.904337899543379	0.89272030651341	0.898491550413973	4437.0
12	CHEBI:29036	0.9294117647058824	0.9575757575757575	0.9432835820895523	165.0
13	CHEBI:29101	0.9481981981981982	0.9568181818181818	0.9524886877828055	440.0
14	CHEBI:29103	0.9804719283970708	0.9694288012872083	0.9749190938511326	1243.0
15	CHEBI:29105	0.9462421325435024	0.960033055367741	0.9530877088305489	26622.0
16	CHEBI:29108	0.9002164255609978	0.936707360436174	0.9180994423791821	8437.0
17	CHEBI:30408	0.9313725490196079	0.9547738693467337	0.9429280397022333	199.0
18	CHEBI:47739	0.7619047619047619	0.8	0.7804878048780488	20.0
19	CHEBI:48775	0.7586206896551724	0.7586206896551724	0.7586206896551724	58.0
20	CHEBI:48828	0.6206896551724138	0.4	0.4864864864864865	45.0
21	CHEBI:49415	1.0	1.0	1.0	1.0
22	CHEBI:49552	0.7758620689655172	0.6923076923076923	0.7317073170731708	65.0
23	CHEBI:49713	0.0	0.0	0.0	3.0
24	CHEBI:49786	0.8411078717201166	0.8338150289017341	0.83744557329463	692.0
25	CHEBI:49883	0.9712819500641469	0.9533126695079427	0.9622134232780956	10324.0
26	CHEBI:60240	0.9313645064260323	0.9260467645459489	0.9286980231765508	3678.0
27	CHEBI:60400	0.875	0.7777777777777778	0.823529411764706	9.0
28	CHEBI:60504	1.0	1.0	1.0	2.0
29	NB	0.9685647756138865	0.9460842594985784	0.9571925420360345	38690.0
